order_id,customer_id,order_date,store_name,city,region,category,channel,customer_segment,units_sold,sales,profit,returns
ORD-1001,CUST-5737,2024-02-18,Prime Market,Los Angeles,West,Apparel,Marketplace,New,12,1341.36,214.62,0
ORD-1002,CUST-5053,2025-06-17,Daily Basket,Boston,East,Beauty,Wholesale,New,15,1502.82,300.56,0
ORD-1003,CUST-1829,2024-04-09,Value Cart,Los Angeles,West,Apparel,Marketplace,Returning,8,1049.76,167.96,0
ORD-1004,CUST-7822,2024-10-30,QuickStop,Seattle,West,Groceries,In-Store,Returning,3,263.25,65.81,0
ORD-1005,CUST-5479,2024-02-07,QuickStop,Seattle,West,Beauty,Marketplace,VIP,4,546.75,109.35,0
ORD-1006,CUST-9706,2024-01-24,Daily Basket,New York,East,Beauty,Marketplace,VIP,7,842.0,168.4,0
ORD-1007,CUST-3971,2025-05-10,Prime Market,Miami,South,Beauty,Online,Returning,3,268.27,53.65,0
ORD-1008,CUST-7301,2024-05-04,QuickStop,Boston,East,Apparel,Online,VIP,11,1690.67,270.51,0
ORD-1009,CUST-6730,2025-02-24,Daily Basket,Seattle,West,Groceries,In-Store,VIP,5,548.44,137.11,0
ORD-1010,CUST-6982,2024-03-17,Daily Basket,Seattle,West,Electronics,Marketplace,VIP,14,3444.53,757.8,0
ORD-1011,CUST-4956,2024-05-31,Prime Market,Los Angeles,West,Apparel,Wholesale,New,3,409.86,65.58,0
ORD-1012,CUST-6711,2024-12-31,QuickStop,New York,East,Apparel,Online,VIP,10,1536.98,245.92,0
ORD-1013,CUST-3488,2024-02-19,Trend Hub,Boston,East,Beauty,Online,Returning,8,819.72,163.94,0
ORD-1014,CUST-3532,2024-08-11,Urban Mart,Los Angeles,West,Home Goods,Marketplace,New,15,2049.3,368.87,0
ORD-1015,CUST-4761,2024-08-25,Value Cart,New York,East,Apparel,Marketplace,VIP,12,1732.1,277.14,0
ORD-1016,CUST-7500,2025-03-21,Prime Market,Miami,South,Electronics,Online,New,14,1919.64,422.32,0
ORD-1017,CUST-2495,2025-01-27,Value Cart,Chicago,North,Groceries,Online,Returning,12,1143.14,285.79,0
ORD-1018,CUST-1788,2024-07-27,Daily Basket,Toronto,North,Beauty,Wholesale,Returning,17,2144.82,428.96,0
ORD-1019,CUST-3371,2024-07-04,QuickStop,Seattle,West,Apparel,Wholesale,Returning,5,801.9,128.3,0
ORD-1020,CUST-1867,2025-03-01,Daily Basket,Dallas,South,Apparel,Wholesale,New,2,209.85,33.58,0
ORD-1021,CUST-5168,2024-03-10,Trend Hub,Dallas,South,Beauty,In-Store,VIP,10,972.0,194.4,0
ORD-1022,CUST-6645,2025-04-13,Prime Market,Chicago,North,Beauty,Wholesale,Returning,6,756.99,151.4,0
ORD-1023,CUST-2693,2024-02-21,Urban Mart,Boston,East,Beauty,In-Store,VIP,1,111.38,22.28,0
ORD-1024,CUST-2535,2024-06-29,Daily Basket,New York,East,Electronics,Online,Returning,14,2582.12,568.07,0
ORD-1025,CUST-4762,2025-06-25,Prime Market,New York,East,Beauty,Wholesale,New,1,100.19,20.04,0
ORD-1026,CUST-5415,2024-09-20,Urban Mart,Dallas,South,Electronics,In-Store,Returning,12,1679.62,369.52,0
ORD-1027,CUST-8647,2024-03-29,Prime Market,Boston,East,Groceries,In-Store,VIP,6,579.15,144.79,0
ORD-1028,CUST-2262,2024-08-28,Prime Market,Miami,South,Groceries,Online,VIP,10,968.76,242.19,0
ORD-1029,CUST-9447,2024-06-21,Daily Basket,Chicago,North,Electronics,In-Store,New,12,1758.67,386.91,0
ORD-1030,CUST-1336,2025-02-24,Value Cart,Miami,South,Groceries,Marketplace,New,5,310.0,77.5,0
ORD-1031,CUST-6712,2024-10-26,Daily Basket,Miami,South,Apparel,Marketplace,VIP,6,755.83,120.93,0
ORD-1032,CUST-2481,2024-06-08,QuickStop,Boston,East,Home Goods,Marketplace,VIP,4,705.67,127.02,1
ORD-1033,CUST-3010,2024-06-12,QuickStop,Dallas,South,Electronics,Marketplace,New,13,1674.02,368.28,0
ORD-1034,CUST-6954,2025-05-03,Prime Market,Chicago,North,Home Goods,Online,VIP,6,1209.09,217.64,0
ORD-1035,CUST-1287,2025-04-29,Daily Basket,Chicago,North,Home Goods,In-Store,New,16,1910.66,343.92,0
ORD-1036,CUST-6393,2024-03-08,QuickStop,Chicago,North,Electronics,Wholesale,New,7,1354.18,297.92,0
ORD-1037,CUST-4902,2024-01-25,Trend Hub,Toronto,North,Groceries,Marketplace,New,17,1295.56,323.89,0
ORD-1038,CUST-7098,2024-03-19,Trend Hub,Seattle,West,Home Goods,In-Store,New,1,126.5,22.77,0
ORD-1039,CUST-1225,2024-06-11,Daily Basket,Boston,East,Beauty,Wholesale,Returning,4,470.45,94.09,0
ORD-1040,CUST-9347,2025-01-26,Daily Basket,Chicago,North,Electronics,In-Store,New,10,1465.56,322.42,0
ORD-1041,CUST-9641,2025-06-16,Prime Market,Miami,South,Apparel,Wholesale,New,17,1783.71,285.39,0
ORD-1042,CUST-1952,2025-05-20,Value Cart,Miami,South,Apparel,Online,Returning,15,1609.63,257.54,0
ORD-1043,CUST-4888,2025-02-13,QuickStop,Miami,South,Electronics,Wholesale,New,16,2518.18,554.0,0
ORD-1044,CUST-8464,2024-09-12,QuickStop,Boston,East,Electronics,Wholesale,New,5,901.69,198.37,0
ORD-1045,CUST-3608,2024-09-10,Value Cart,Toronto,North,Beauty,Wholesale,VIP,15,2365.61,473.12,0
ORD-1046,CUST-8806,2024-08-13,QuickStop,Toronto,North,Apparel,Online,Returning,17,2242.31,358.77,0
ORD-1047,CUST-8933,2024-10-17,Trend Hub,Toronto,North,Groceries,Wholesale,VIP,14,1913.51,478.38,0
ORD-1048,CUST-3792,2024-02-06,Prime Market,Dallas,South,Electronics,Online,VIP,6,1207.22,265.59,0
ORD-1049,CUST-5862,2025-05-15,Urban Mart,Los Angeles,West,Electronics,In-Store,Returning,3,546.75,120.28,0
